model,scenario,lang,n,refusals,refusal_rate,mean_estimate
deepseek,soldiers_secure_city,ZH,64,0,0.0,34765.625
deepseek,south_sudan_famine,EN,64,7,0.109375,501074.56140350876
deepseek,south_sudan_famine,ES,64,31,0.484375,253993.9393939394
deepseek,south_sudan_famine,IT,64,20,0.3125,259371.20454545456
deepseek,south_sudan_famine,MY,64,41,0.640625,673913.0434782609
deepseek,south_sudan_famine,NO,64,39,0.609375,481800.0
deepseek,south_sudan_famine,SO,64,18,0.28125,823095.6521739131
deepseek,south_sudan_famine,SV,64,44,0.6875,447500.0
deepseek,south_sudan_famine,TI,64,22,0.34375,
deepseek,south_sudan_famine,ZH,64,0,0.0,170257.8125
deepseek,sudan_chad,EN,64,2,0.03125,188387.09677419355
deepseek,sudan_chad,ES,64,0,0.0,189687.5
deepseek,sudan_chad,IT,64,0,0.0,227609.375
deepseek,sudan_chad,MY,64,0,0.0,200664.0625
deepseek,sudan_chad,NO,64,28,0.4375,146750.0
deepseek,sudan_chad,SO,64,59,0.921875,351400.0
deepseek,sudan_chad,SV,64,3,0.046875,212295.0819672131
deepseek,sudan_chad,TI,64,38,0.59375,335384.6153846154
deepseek,sudan_chad,ZH,64,7,0.109375,244473.68421052632
deepseek,syria_jordan,EN,64,0,0.0,72734.375
deepseek,syria_jordan,ES,64,12,0.1875,62451.92307692308
deepseek,syria_jordan,IT,64,13,0.203125,105245.09803921569
deepseek,syria_jordan,MY,64,48,0.75,240625.0
deepseek,syria_jordan,NO,64,22,0.34375,49464.28571428572
deepseek,syria_jordan,SO,64,31,0.484375,146212.12121212122
deepseek,syria_jordan,SV,64,38,0.59375,60096.153846153844
deepseek,syria_jordan,TI,64,52,0.8125,194166.66666666666
deepseek,syria_jordan,ZH,64,0,0.0,76234.375
deepseek,yemen_famine,EN,64,0,0.0,457031.25
deepseek,yemen_famine,ES,64,49,0.765625,529999.9333333333
deepseek,yemen_famine,IT,64,41,0.640625,368478.26086956525
deepseek,yemen_famine,MY,64,62,0.96875,40625.0
deepseek,yemen_famine,NO,64,2,0.03125,377120.96774193546
deepseek,yemen_famine,SO,64,11,0.171875,393490.56603773584
